Week;CO1_NEC;COST;UPV_COD;CO1_PEK
1;240;177,2;43;0,738333333
2;490;426,2;69;0,869795918
3;586;440,8;76;0,75221843
4;549;434,9;77;0,792167577
5;726;573,4;94;0,789807163
6;623;500,7;87;0,803691814
7;597;479;86;0,802345059
8;662;537,5;85;0,811933535
9;563;420,2;89;0,746358792
10;441;339,2;76;0,769160998
11;505;412,2;79;0,816237624
12;511;408;75;0,798434442
13;626;505,2;96;0,807028754
14;584;469,2;80;0,803424658
15;504;379,4;68;0,752777778
16;615;499,6;79;0,812357724
17;514;394,8;79;0,768093385
18;345;272,6;58;0,790144928
19;338;264,4;60;0,782248521
20;580;438,4;71;0,755862069
21;417;320,6;55;0,76882494
22;582;413,5;85;0,7104811
23;573;423,6;73;0,739267016
24;512;365,8;65;0,714453125
25;584;433,3;72;0,741952055
26;474;348,2;69;0,734599156
27;522;410,3;79;0,786015326
28;485;373,4;75;0,769896907
29;495;389,2;75;0,786262626
30;560;476,7;93;0,85125
31;340;275,1;61;0,809117647
32;227;209,2;45;0,921585903
33;318;272,4;54;0,856603774
34;447;403,9;70;0,903579418
35;454;389,5;98;0,857929515
36;397;363,2;66;0,914861461
37;450;383,1;76;0,851333333
38;445;399,4;76;0,89752809
39;364;319;58;0,876373626
40;494;453,9;71;0,918825911
41;554;487,2;70;0,879422383
42;436;385,5;70;0,884174312
43;593;515;79;0,86846543
44;504;442,8;64;0,878571429
45;495;453;64;0,915151515
46;511;457,6;70;0,895499022
47;506;474,1;67;0,936956522
48;471;453,5;85;0,962845011
49;420;417,5;69;0,994047619
50;391;390,9;65;0,999744246
51;368;372;55;1,010869565
52;41;32,6;8;0,795121951
